📺央视频道,#genre#
CCTV-1,http://39.134.61.211/PLTV/88888888/224/3221226748/index.m3u8
CCTV-1,https://mg.345564.xyz/proxy.php?url=http://8.138.7.223/【公众号：榴芒电视】/cctv1-rth.m3u8
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-1,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_5e0X7.php?id=山东卫视
CCTV-1,http://154.40.47.19:668/gy/gy_a8b8/LLPZBGPT_OLaWb.php?id=山东卫视
CCTV-1,http://114.246.201.137:7088/rtp/239.3.1.129:8008
CCTV-1,http://121.226.23.29:55555/rtp/239.49.8.19:9614
CCTV-1,http://49.88.236.10:4000/rtp/239.49.8.19:9614
CCTV-1,http://114.252.7.252:8686/rtp/239.3.1.129:8008
CCTV-1,http://www.745612.xyz:7788/rtp/235.254.198.51:1480
CCTV-1,http://171.213.220.87:4022/rtp/239.93.0.184:5140
CCTV-1,http://106.52.196.79:80/TV/mui.php
CCTV-1,http://221.223.21.159:58888/rtp/239.3.1.129:8008
CCTV-1,http://150.158.112.123/公众号玉玉应用笔记/php/综合/migu1.php?id=cctv1
CCTV-1,http://live.nctv.top/JKHdjsi/migu.php
CCTV-1,http://web9916.w.computerqwq.cf/jzb.php?id=cctv1&公众号【医工学习日志】
CCTV-1,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】
CCTV-1,http://123.159.35.24:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://114.254.35.230:18888/rtp/239.3.1.129:8008
CCTV-1,https://60.191.56.186:8888/hls/40/index.m3u8
CCTV-1,http://101.66.198.123:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://183.186.69.137:8899/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://114.32.59.86:7000/bptv/10000100000000050000000003864351.m3u8
CCTV-1,http://124.65.7.227:20000/rtp/239.3.1.129:8008
CCTV-1,http://49.67.152.64:8888/rtp/239.49.8.19:9614
